idx	X	Y	component
398	2570.613145279646	2226.625403943357	0
399	2576.794751130858	2227.517462897956	0
400	2576.811613615039	2227.519726689577	0
401	2579.33506848344	2227.985501964202	0
402	2579.321496391023	2227.986163767278	0
403	2581.272409044112	2228.979379532519	0
404	2579.309247649783	2227.986938763892	0
405	2582.253269686732	2228.867134654526	0
406	2582.24366054305	2228.874556712238	0
407	2584.851602273246	2229.227931951089	0
408	2584.87844093782	2229.238012413182	0
409	2584.894614814831	2230.103152312561	0
410	2584.733276871592	2230.140610818623	0
411	2587.746015832518	2229.777215286223	0
412	2587.701520245749	2229.741259944437	0
413	2593.31865405015	2229.279159267698	0
414	2587.76396140523	2229.773983152998	0
415	2593.564969934369	2229.339137238501	0
416	2593.551926806004	2229.30255756714	0
417	2597.174327478658	2229.065887105674	0
418	2593.577914552491	2229.339690224455	0
419	2597.022186350965	2229.143142564949	0
420	2597.019357580331	2229.143785378326	0
421	2599.924113700885	2229.030721686046	0
422	2597.314175619918	2229.051317412108	0
423	2601.465556198744	2228.529500426175	0
424	2601.439622673346	2228.531359520923	0
425	2604.384869996119	2228.144944509416	0
426	2604.38733421913	2228.144146505126	0
427	2599.891852624309	2229.090492189533	0
428	2599.908154979966	2229.031512983583	0
429	2602.592225161543	2228.67859986418	0
430	2602.583929588043	2228.680767025604	0
431	2605.728659251945	2228.25680912143	0
432	2605.727036845486	2228.256121486678	0
433	2613.490877660801	2227.933367575246	0
434	2613.567622719912	2227.928625770722	0
435	2617.182737218183	2227.709182227166	0
436	2613.776298776547	2227.919750485395	0
437	2620.625452270016	2227.373195114966	0
438	2617.168233174748	2227.709472348457	0
439	2626.110235745158	2227.121528500747	0
440	2620.988782300295	2227.354891900976	0
441	2635.653031593844	2226.545178986422	0
442	2626.028115036559	2227.131005510197	0
443	2635.666514126569	2226.544167884547	0
444	2635.615998958656	2226.546886060949	0
445	2641.688975260029	2226.266562532062	0
446	2558.277959206619	2223.872028923949	0
447	2559.677029088991	2223.312191194396	0
448	2641.868146874817	2226.260757805835	0
449	2646.204495607205	2226.024569420431	0
450	2645.921792194517	2226.020113392407	0
451	2647.162931370132	2225.766910871719	0
452	2558.292768024824	2223.867346290624	0
453	2559.037079293767	2223.331199024479	0
454	2559.681221176282	2223.311480930196	0
455	3029.797623870623	2147.224846837301	0
456	2646.257872152174	2226.024733209532	0
457	2654.86903023439	2225.600048627854	0
458	2654.896994091319	2225.598767167768	0
459	2876.655100412871	2223.271749956541	0
460	2876.485088232513	2223.258949814335	0
461	2808.048546967443	2219.530574797066	0
462	2807.866074102826	2219.564144390112	0
463	2808.122434185771	2219.45992003493	0
464	2808.28057952409	2219.546928965407	0
465	2801.856304443548	2218.209168449767	0
466	2801.536006726572	2218.184398380416	0
467	2798.976626935436	2218.175304535408	0
468	2801.868290947927	2218.210610855761	0
469	2799.046074540865	2217.730456270799	0
470	2798.970711489252	2217.724818304227	0
471	2798.467508603437	2217.70177558644	0
472	2799.041585302012	2217.729234124771	0
473	2794.215053246647	2216.307621536606	0
474	2793.932506672648	2216.311450786751	0
475	2794.164160905732	2216.262024979987	0
476	2794.113291432896	2216.301381301665	0
477	2792.188744079543	2212.98056771499	0
478	2792.188744078632	2212.980567714574	0
479	2791.466405432813	2211.722300241733	0
480	2792.236275456685	2212.991855842713	0
481	2791.765412893103	2211.80893450301	0
482	2791.770505676542	2211.812447553298	0
483	2792.078289653113	2210.58423495879	0
484	2791.904880350777	2210.56152419658	0
485	2792.864504618511	2209.698886208489	0
486	2792.051804719687	2210.570899316899	0
487	2792.988613238567	2209.711663836003	0
488	2792.99209989133	2209.710670498843	0
489	2795.553942184586	2208.336049778645	0
490	2795.548560918794	2208.335376874874	0
491	2796.959724987499	2207.923178031311	0
492	2795.489931907301	2208.313900224466	0
493	2796.979815858956	2207.901761202776	0
494	2797.020453224019	2207.91880346739	0
495	2801.04456069667	2206.952434375303	0
496	2801.012520506329	2206.953613675029	0
497	2811.126001814111	2205.259076115739	0
498	2801.218871381769	2206.9016154467	0
499	2810.494853238994	2205.330224923467	0
